start_meetperiode;eind_meetperiode;gebruikte_minuten_intensiteit;gem_intensiteit;gem_snelheid;naam_meetlocatie_mst;totaal_aantal_rijstroken;rijrichting;rijstrook_rijbaan;start_locatie_latitude;start_locatie_longitude
2019-06-19 00:29:00;2019-06-19 00:30:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:29:00;2019-06-19 00:30:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:29:00;2019-06-19 00:30:00;1;180;113;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:29:00;2019-06-19 00:30:00;1;180;120;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:29:00;2019-06-19 00:30:00;1;300;106;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:29:00;2019-06-19 00:30:00;1;60;80;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:30:00;2019-06-19 00:31:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:30:00;2019-06-19 00:31:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:30:00;2019-06-19 00:31:00;1;0;-1;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:30:00;2019-06-19 00:31:00;1;120;118;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:30:00;2019-06-19 00:31:00;1;300;110;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:30:00;2019-06-19 00:31:00;1;60;83;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:31:00;2019-06-19 00:32:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:31:00;2019-06-19 00:32:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:31:00;2019-06-19 00:32:00;1;0;-1;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:31:00;2019-06-19 00:32:00;1;240;126;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:31:00;2019-06-19 00:32:00;1;300;117;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:31:00;2019-06-19 00:32:00;1;180;98;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:32:00;2019-06-19 00:33:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:32:00;2019-06-19 00:33:00;1;60;127;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:32:00;2019-06-19 00:33:00;1;120;122;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:32:00;2019-06-19 00:33:00;1;240;118;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:32:00;2019-06-19 00:33:00;1;300;98;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:32:00;2019-06-19 00:33:00;1;0;-1;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:33:00;2019-06-19 00:34:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:33:00;2019-06-19 00:34:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:33:00;2019-06-19 00:34:00;1;120;129;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:33:00;2019-06-19 00:34:00;1;120;122;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:33:00;2019-06-19 00:34:00;1;300;115;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:33:00;2019-06-19 00:34:00;1;120;90;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:34:00;2019-06-19 00:35:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:34:00;2019-06-19 00:35:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:34:00;2019-06-19 00:35:00;1;360;123;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
2019-06-19 00:34:00;2019-06-19 00:35:00;1;180;120;0041hrl0143ra;6;northBound;lane4;52.26433;4.69276
2019-06-19 00:34:00;2019-06-19 00:35:00;1;300;107;0041hrl0143ra;6;northBound;lane5;52.26433;4.69276
2019-06-19 00:34:00;2019-06-19 00:35:00;1;120;98;0041hrl0143ra;6;northBound;lane6;52.26433;4.69276
2019-06-19 00:35:00;2019-06-19 00:36:00;1;0;-1;0041hrl0143ra;6;northBound;lane1;52.26433;4.69276
2019-06-19 00:35:00;2019-06-19 00:36:00;1;0;-1;0041hrl0143ra;6;northBound;lane2;52.26433;4.69276
2019-06-19 00:35:00;2019-06-19 00:36:00;1;180;119;0041hrl0143ra;6;northBound;lane3;52.26433;4.69276
